DBN,School Name,year_start,scenario,yhat,yhat_lower,yhat_upper
02M077,P.S. 77 Lower Lab School,2020,actual,351.0,351.0,351.0
02M077,P.S. 77 Lower Lab School,2021,actual,346.0,346.0,346.0
02M077,P.S. 77 Lower Lab School,2022,actual,373.0,373.0,373.0
02M077,P.S. 77 Lower Lab School,2023,actual,368.0,368.0,368.0
02M077,P.S. 77 Lower Lab School,2024,actual,363.0,363.0,363.0
02M077,P.S. 77 Lower Lab School,2025,pessimistic,367.6,349.2599269297344,385.94007307026567
02M077,P.S. 77 Lower Lab School,2026,pessimistic,372.20000000000005,349.7380895662452,394.6619104337549
02M077,P.S. 77 Lower Lab School,2027,pessimistic,376.80000000000007,350.86321992911684,402.7367800708833
02M077,P.S. 77 Lower Lab School,2025,base,363.0,344.65992692973435,381.34007307026565
02M077,P.S. 77 Lower Lab School,2026,base,363.0,340.53808956624516,385.46191043375484
02M077,P.S. 77 Lower Lab School,2027,base,363.0,337.06321992911677,388.93678007088323
02M077,P.S. 77 Lower Lab School,2025,optimistic,360.1904761904762,341.85040312021056,378.53054926074185
02M077,P.S. 77 Lower Lab School,2026,optimistic,357.38095238095235,334.9190419471975,379.8428628147072
02M077,P.S. 77 Lower Lab School,2027,optimistic,354.57142857142856,328.6346485005453,380.5082086423118
02M089,P.S. 89,2013,actual,436.0,436.0,436.0
02M089,P.S. 89,2014,actual,406.0,406.0,406.0
02M089,P.S. 89,2015,actual,389.0,389.0,389.0
02M089,P.S. 89,2016,actual,376.0,376.0,376.0
02M089,P.S. 89,2017,actual,397.0,397.0,397.0
02M089,P.S. 89,2018,actual,421.0,421.0,421.0
02M089,P.S. 89,2019,actual,418.0,418.0,418.0
02M089,P.S. 89,2020,actual,313.0,313.0,313.0
02M089,P.S. 89,2021,actual,312.0,312.0,312.0
02M089,P.S. 89,2022,actual,304.0,304.0,304.0
02M089,P.S. 89,2023,actual,300.0,300.0,300.0
02M089,P.S. 89,2024,actual,306.0,306.0,306.0
02M089,P.S. 89,2025,pessimistic,303.40000000000003,295.8254628588562,310.97453714114386
02M089,P.S. 89,2026,pessimistic,300.80000000000007,291.5231244832191,310.07687551678106
02M089,P.S. 89,2027,pessimistic,298.20000000000005,287.48798684629577,308.9120131537043
02M089,P.S. 89,2025,base,306.0,298.4254628588562,313.5745371411438
02M089,P.S. 89,2026,base,306.0,296.723124483219,315.276875516781
02M089,P.S. 89,2027,base,306.0,295.2879868462957,316.7120131537043
02M089,P.S. 89,2025,optimistic,339.3809523809524,331.8064152398086,346.95548952209623
02M089,P.S. 89,2026,optimistic,372.76190476190476,363.48502924512377,382.03878027868575
02M089,P.S. 89,2027,optimistic,406.14285714285717,395.4308439891529,416.85487029656144
02M111,P.S. 111 Adolph S. Ochs,2013,actual,305.0,305.0,305.0
02M111,P.S. 111 Adolph S. Ochs,2014,actual,302.0,302.0,302.0
02M111,P.S. 111 Adolph S. Ochs,2015,actual,304.0,304.0,304.0
02M111,P.S. 111 Adolph S. Ochs,2016,actual,291.0,291.0,291.0
02M111,P.S. 111 Adolph S. Ochs,2017,actual,349.0,349.0,349.0
02M111,P.S. 111 Adolph S. Ochs,2018,actual,365.0,365.0,365.0
02M111,P.S. 111 Adolph S. Ochs,2019,actual,388.0,388.0,388.0
02M111,P.S. 111 Adolph S. Ochs,2020,actual,367.0,367.0,367.0
02M111,P.S. 111 Adolph S. Ochs,2021,actual,296.0,296.0,296.0
02M111,P.S. 111 Adolph S. Ochs,2022,actual,347.0,347.0,347.0
02M111,P.S. 111 Adolph S. Ochs,2023,actual,343.0,343.0,343.0
02M111,P.S. 111 Adolph S. Ochs,2024,actual,350.0,350.0,350.0
