DBN,year_start,school_year,scenario,model,Forecast,Actual,Error,Abs_Error,Pct_Error
02M150,2024,2024-25,Optimistic,Piecewise Linear,168.28571428571428,255.0,-86.71428571428572,86.71428571428572,-0.3400560224089636
02M150,2022,2022-23,Base,Prophet,108.85209817751948,162.0,-53.14790182248052,53.14790182248052,-0.3280734680400032
02M150,2023,2023-24,Base,Prophet,79.0967819081286,209.0,-129.9032180918714,129.9032180918714,-0.6215464980472315
02M150,2024,2024-25,Base,Prophet,49.25994422430109,255.0,-205.7400557756989,205.7400557756989,-0.8068237481399958
02M151,2022,2022-23,Pessimistic,Piecewise Linear,275.0,296.0,-21.0,21.0,-0.0709459459459459
02M151,2023,2023-24,Pessimistic,Piecewise Linear,221.0,294.0,-73.00000000000003,73.00000000000003,-0.2482993197278912
02M151,2024,2024-25,Pessimistic,Piecewise Linear,166.99999999999994,277.0,-110.00000000000006,110.00000000000006,-0.3971119133574009
02M151,2022,2022-23,Base,Piecewise Linear,329.0,296.0,33.0,33.0,0.1114864864864864
02M151,2023,2023-24,Base,Piecewise Linear,329.0,294.0,35.0,35.0,0.119047619047619
02M151,2024,2024-25,Base,Piecewise Linear,329.0,277.0,52.0,52.0,0.187725631768953
02M151,2022,2022-23,Optimistic,Piecewise Linear,383.22222222222223,296.0,87.22222222222223,87.22222222222223,0.2946696696696697
02M151,2023,2023-24,Optimistic,Piecewise Linear,437.44444444444446,294.0,143.44444444444446,143.44444444444446,0.4879062736205594
02M151,2024,2024-25,Optimistic,Piecewise Linear,491.6666666666667,277.0,214.66666666666669,214.66666666666669,0.7749699157641396
02M151,2022,2022-23,Base,Prophet,285.1151660102933,296.0,-10.884833989706692,10.884833989706692,-0.0367730878030631
02M151,2023,2023-24,Base,Prophet,240.0416428287525,294.0,-53.95835717124754,53.95835717124754,-0.1835318271130868
02M151,2024,2024-25,Base,Prophet,194.8446305426046,277.0,-82.15536945739541,82.15536945739541,-0.2965897814346405
02M158,2022,2022-23,Pessimistic,Piecewise Linear,564.0,580.0,-16.0,16.0,-0.0275862068965517
02M158,2023,2023-24,Pessimistic,Piecewise Linear,542.9999999999999,563.0,-20.000000000000117,20.000000000000117,-0.0355239786856129
02M158,2024,2024-25,Pessimistic,Piecewise Linear,521.9999999999999,557.0,-35.000000000000114,35.000000000000114,-0.0628366247755836
02M158,2022,2022-23,Base,Piecewise Linear,585.0,580.0,5.0,5.0,0.0086206896551724
02M158,2023,2023-24,Base,Piecewise Linear,585.0,563.0,22.0,22.0,0.039076376554174
02M158,2024,2024-25,Base,Piecewise Linear,585.0,557.0,28.0,28.0,0.0502692998204667
02M158,2022,2022-23,Optimistic,Piecewise Linear,627.1904761904761,580.0,47.19047619047615,47.19047619047615,0.0813628899835795
