DBN,School Name,year_start,scenario,model,forecast,actual,error,abs_error,pct_error
02M051,P.S. 051 Elias Howe,2023,base,Prophet,287.8887098999589,400.0,-112.11129010004112,112.11129010004112,-0.2802782252501028
02M051,P.S. 051 Elias Howe,2024,base,Prophet,241.6132556694866,393.0,-151.3867443305134,151.3867443305134,-0.38520800084100104
02M059,P.S. 059 Beekman Hill International,2022,pessimistic,Piecewise Linear,478.99999999999994,504.0,-25.000000000000057,25.000000000000057,-0.04960317460317472
02M059,P.S. 059 Beekman Hill International,2023,pessimistic,Piecewise Linear,433.9999999999999,497.0,-63.000000000000114,63.000000000000114,-0.1267605633802819
02M059,P.S. 059 Beekman Hill International,2024,pessimistic,Piecewise Linear,388.9999999999999,499.0,-110.00000000000011,110.00000000000011,-0.22044088176352727
02M059,P.S. 059 Beekman Hill International,2022,base,Piecewise Linear,524.0,504.0,20.0,20.0,0.03968253968253968
02M059,P.S. 059 Beekman Hill International,2023,base,Piecewise Linear,524.0,497.0,27.0,27.0,0.05432595573440644
02M059,P.S. 059 Beekman Hill International,2024,base,Piecewise Linear,524.0,499.0,25.0,25.0,0.050100200400801605
02M059,P.S. 059 Beekman Hill International,2022,optimistic,Piecewise Linear,546.1904761904761,504.0,42.19047619047615,42.19047619047615,0.08371126228269077
02M059,P.S. 059 Beekman Hill International,2023,optimistic,Piecewise Linear,568.3809523809524,497.0,71.38095238095241,71.38095238095241,0.14362364664175534
02M059,P.S. 059 Beekman Hill International,2024,optimistic,Piecewise Linear,590.5714285714286,499.0,91.57142857142856,91.57142857142856,0.1835098768966504
02M059,P.S. 059 Beekman Hill International,2022,base,Prophet,476.98021190560536,504.0,-27.01978809439464,27.01978809439464,-0.05361069066348143
02M059,P.S. 059 Beekman Hill International,2023,base,Prophet,424.13588296483016,497.0,-72.86411703516984,72.86411703516984,-0.14660788135849062
02M059,P.S. 059 Beekman Hill International,2024,base,Prophet,371.1467750406556,499.0,-127.8532249593444,127.8532249593444,-0.25621888769407697
02M077,P.S. 77 Lower Lab School,2022,pessimistic,Piecewise Linear,341.0,373.0,-32.0,32.0,-0.08579088471849866
02M077,P.S. 77 Lower Lab School,2023,pessimistic,Piecewise Linear,335.99999999999994,368.0,-32.00000000000006,32.00000000000006,-0.08695652173913059
02M077,P.S. 77 Lower Lab School,2024,pessimistic,Piecewise Linear,330.99999999999994,363.0,-32.00000000000006,32.00000000000006,-0.08815426997245195
02M077,P.S. 77 Lower Lab School,2022,base,Piecewise Linear,346.0,373.0,-27.0,27.0,-0.07238605898123325
02M077,P.S. 77 Lower Lab School,2023,base,Piecewise Linear,346.0,368.0,-22.0,22.0,-0.059782608695652176
02M077,P.S. 77 Lower Lab School,2024,base,Piecewise Linear,346.0,363.0,-17.0,17.0,-0.046831955922865015
02M077,P.S. 77 Lower Lab School,2022,optimistic,Piecewise Linear,348.85714285714283,373.0,-24.142857142857167,24.142857142857167,-0.06472615855993878
02M077,P.S. 77 Lower Lab School,2023,optimistic,Piecewise Linear,351.7142857142857,368.0,-16.285714285714278,16.285714285714278,-0.04425465838509315
02M077,P.S. 77 Lower Lab School,2024,optimistic,Piecewise Linear,354.57142857142856,363.0,-8.428571428571445,8.428571428571445,-0.0232192050373869
02M077,P.S. 77 Lower Lab School,2022,base,Prophet,335.0141833824203,373.0,-37.9858166175797,37.9858166175797,-0.10183865044927534
02M077,P.S. 77 Lower Lab School,2023,base,Prophet,323.08873180943596,368.0,-44.911268190564044,44.911268190564044,-0.12204148964827186
02M077,P.S. 77 Lower Lab School,2024,base,Prophet,311.1306077663888,363.0,-51.86939223361122,51.86939223361122,-0.1428908876958987
02M089,P.S. 89,2022,pessimistic,Piecewise Linear,311.0,304.0,7.0,7.0,0.023026315789473683
02M089,P.S. 89,2023,pessimistic,Piecewise Linear,309.99999999999994,300.0,9.999999999999943,9.999999999999943,0.033333333333333146
02M089,P.S. 89,2024,pessimistic,Piecewise Linear,308.99999999999994,306.0,2.999999999999943,2.999999999999943,0.009803921568627265
02M089,P.S. 89,2022,base,Piecewise Linear,312.0,304.0,8.0,8.0,0.02631578947368421
02M089,P.S. 89,2023,base,Piecewise Linear,312.0,300.0,12.0,12.0,0.04
02M089,P.S. 89,2024,base,Piecewise Linear,312.0,306.0,6.0,6.0,0.0196078431372549
02M089,P.S. 89,2022,optimistic,Piecewise Linear,343.3809523809524,304.0,39.38095238095241,39.38095238095241,0.12954260651629082
02M089,P.S. 89,2023,optimistic,Piecewise Linear,374.76190476190476,300.0,74.76190476190476,74.76190476190476,0.2492063492063492
02M089,P.S. 89,2024,optimistic,Piecewise Linear,406.14285714285717,306.0,100.14285714285717,100.14285714285717,0.32726423902894497
02M089,P.S. 89,2022,base,Prophet,329.3616050784628,304.0,25.361605078462787,25.361605078462787,0.08342633249494338
02M089,P.S. 89,2023,base,Prophet,318.1759754626498,300.0,18.175975462649774,18.175975462649774,0.06058658487549925
02M089,P.S. 89,2024,base,Prophet,306.9597002862454,306.0,0.9597002862453792,0.9597002862453792,0.003136275445246337
02M111,P.S. 111 Adolph S. Ochs,2022,pessimistic,Piecewise Linear,225.0,347.0,-122.0,122.0,-0.3515850144092219
02M111,P.S. 111 Adolph S. Ochs,2023,pessimistic,Piecewise Linear,153.99999999999997,343.0,-189.00000000000003,189.00000000000003,-0.5510204081632654
02M111,P.S. 111 Adolph S. Ochs,2024,pessimistic,Piecewise Linear,82.99999999999994,350.0,-267.00000000000006,267.00000000000006,-0.762857142857143
02M111,P.S. 111 Adolph S. Ochs,2022,base,Piecewise Linear,296.0,347.0,-51.0,51.0,-0.14697406340057637
02M111,P.S. 111 Adolph S. Ochs,2023,base,Piecewise Linear,296.0,343.0,-47.0,47.0,-0.13702623906705538
02M111,P.S. 111 Adolph S. Ochs,2024,base,Piecewise Linear,296.0,350.0,-54.0,54.0,-0.15428571428571428
02M111,P.S. 111 Adolph S. Ochs,2022,optimistic,Piecewise Linear,307.04761904761904,347.0,-39.95238095238096,39.95238095238096,-0.11513654453135724
02M111,P.S. 111 Adolph S. Ochs,2023,optimistic,Piecewise Linear,318.09523809523813,343.0,-24.90476190476187,24.90476190476187,-0.07260863529085093
02M111,P.S. 111 Adolph S. Ochs,2024,optimistic,Piecewise Linear,329.14285714285717,350.0,-20.857142857142833,20.857142857142833,-0.05959183673469381
02M111,P.S. 111 Adolph S. Ochs,2022,base,Prophet,244.18139315863112,347.0,-102.81860684136888,102.81860684136888,-0.29630722432671147
02M111,P.S. 111 Adolph S. Ochs,2023,base,Prophet,179.52172099531822,343.0,-163.47827900468178,163.47827900468178,-0.4766130583226874
02M111,P.S. 111 Adolph S. Ochs,2024,base,Prophet,114.6848990452566,350.0,-235.3151009547434,235.3151009547434,-0.6723288598706955
02M116,P.S. 116 Mary Lindley Murray,2022,pessimistic,Piecewise Linear,299.0,306.0,-7.0,7.0,-0.02287581699346405
02M116,P.S. 116 Mary Lindley Murray,2023,pessimistic,Piecewise Linear,265.0,318.0,-53.0,53.0,-0.16666666666666666
02M116,P.S. 116 Mary Lindley Murray,2024,pessimistic,Piecewise Linear,230.99999999999994,351.0,-120.00000000000006,120.00000000000006,-0.34188034188034205
02M116,P.S. 116 Mary Lindley Murray,2022,base,Piecewise Linear,333.0,306.0,27.0,27.0,0.08823529411764706
02M116,P.S. 116 Mary Lindley Murray,2023,base,Piecewise Linear,333.0,318.0,15.0,15.0,0.04716981132075472
02M116,P.S. 116 Mary Lindley Murray,2024,base,Piecewise Linear,333.0,351.0,-18.0,18.0,-0.05128205128205128
02M116,P.S. 116 Mary Lindley Murray,2022,optimistic,Piecewise Linear,406.95238095238096,306.0,100.95238095238096,100.95238095238096,0.3299097416744476
02M116,P.S. 116 Mary Lindley Murray,2023,optimistic,Piecewise Linear,480.9047619047619,318.0,162.90476190476193,162.90476190476193,0.5122791254866728
