DBN,School Name,Year,ds,k5_enroll,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5
02M130,P.S. 130 Hernando De Soto,2017-18,2017-09-01,877,139,116,125,156,175,166
02M130,P.S. 130 Hernando De Soto,2018-19,2018-09-01,823,119,138,116,119,156,175
02M130,P.S. 130 Hernando De Soto,2019-20,2019-09-01,760,110,123,134,121,121,151
02M130,P.S. 130 Hernando De Soto,2020-21,2020-09-01,714,120,110,120,130,114,120
02M130,P.S. 130 Hernando De Soto,2021-22,2021-09-01,616,81,111,97,105,117,105
02M150,P.S. 150,2017-18,2017-09-01,169,29,30,28,30,25,27
02M150,P.S. 150,2018-19,2018-09-01,171,28,30,29,30,29,25
02M150,P.S. 150,2019-20,2019-09-01,172,28,26,31,30,30,27
02M150,P.S. 150,2020-21,2020-09-01,163,29,28,23,25,29,29
02M150,P.S. 150,2021-22,2021-09-01,138,25,26,25,23,19,20
02M151,Yorkville Community School,2017-18,2017-09-01,475,67,84,76,72,94,82
02M151,Yorkville Community School,2018-19,2018-09-01,428,67,59,79,70,60,93
02M151,Yorkville Community School,2019-20,2019-09-01,409,84,63,56,76,68,62
02M151,Yorkville Community School,2020-21,2020-09-01,383,69,69,57,53,69,66
02M151,Yorkville Community School,2021-22,2021-09-01,329,58,54,51,53,53,60
02M158,P.S. 158 Bayard Taylor,2017-18,2017-09-01,721,139,123,114,132,107,106
02M158,P.S. 158 Bayard Taylor,2018-19,2018-09-01,724,135,135,109,120,124,101
02M158,P.S. 158 Bayard Taylor,2019-20,2019-09-01,735,153,118,128,106,108,122
02M158,P.S. 158 Bayard Taylor,2020-21,2020-09-01,606,122,107,98,101,80,98
02M158,P.S. 158 Bayard Taylor,2021-22,2021-09-01,585,109,113,101,90,97,75
02M183,P.S. 183 Robert L. Stevenson,2017-18,2017-09-01,548,102,107,96,84,74,85
02M183,P.S. 183 Robert L. Stevenson,2018-19,2018-09-01,514,99,89,93,78,83,72
02M183,P.S. 183 Robert L. Stevenson,2019-20,2019-09-01,564,124,108,90,84,79,79
02M183,P.S. 183 Robert L. Stevenson,2020-21,2020-09-01,506,97,92,83,82,77,75
02M183,P.S. 183 Robert L. Stevenson,2021-22,2021-09-01,478,105,88,78,67,71,69
02M198,P.S. 198 Isador E. Ida Straus,2017-18,2017-09-01,410,71,67,87,57,61,67
02M198,P.S. 198 Isador E. Ida Straus,2018-19,2018-09-01,432,80,67,75,90,57,63
02M198,P.S. 198 Isador E. Ida Straus,2019-20,2019-09-01,439,98,74,68,65,81,53
02M198,P.S. 198 Isador E. Ida Straus,2020-21,2020-09-01,419,81,81,67,58,53,79
02M198,P.S. 198 Isador E. Ida Straus,2021-22,2021-09-01,369,80,71,73,62,38,45
02M212,P.S. 212 Midtown West,2017-18,2017-09-01,330,53,57,54,56,53,57
02M212,P.S. 212 Midtown West,2018-19,2018-09-01,327,53,52,61,54,57,50
02M212,P.S. 212 Midtown West,2019-20,2019-09-01,334,56,56,56,54,53,59
02M212,P.S. 212 Midtown West,2020-21,2020-09-01,293,52,49,44,51,52,45
02M212,P.S. 212 Midtown West,2021-22,2021-09-01,257,46,49,40,36,39,47
02M217,P.S./I.S. 217 Roosevelt Island,2017-18,2017-09-01,505,97,80,80,89,101,58
02M217,P.S./I.S. 217 Roosevelt Island,2018-19,2018-09-01,498,95,89,68,73,85,88
02M217,P.S./I.S. 217 Roosevelt Island,2019-20,2019-09-01,509,98,96,89,77,69,80
02M217,P.S./I.S. 217 Roosevelt Island,2020-21,2020-09-01,500,103,94,86,85,71,61
02M217,P.S./I.S. 217 Roosevelt Island,2021-22,2021-09-01,543,104,101,104,86,83,65
02M225,Ella Baker School,2017-18,2017-09-01,221,45,31,36,38,32,39
02M225,Ella Baker School,2018-19,2018-09-01,220,47,41,29,38,35,30
02M225,Ella Baker School,2019-20,2019-09-01,230,45,42,40,28,39,36
02M225,Ella Baker School,2020-21,2020-09-01,231,47,42,37,38,28,39
